,en,ko
signup.title,Create your account,계정 생성
signup.email,email,이메일
signup.password,password,패스워드
signup.submit,Sign up,회원가입
signup.border,Already have an account?,이미 계정이 있으신가요?
signup.login,Sign in to existing account,계정 로그인하기
signup.invalid_email_or_password,Invalid email or password. Please try again,유효하지 않은 계정 정보입니다. 다시 시도해주세요
,,
signin.title,Sign in to your account,로그인
signin.email,email,이메일
signin.password,password,패스워드
signin.submit,Sign in,로그인
signin.border,New to our platform?,저희 서비스는 처음이신가요?
signin.login,Create an account,새로운 계정 생성하기
signin.invalid_email_or_password,Invalid email or password. Please try again,유효하지 않은 계정 정보입니다. 다시 시도해주세요
,,
main1.title,Build your SaaS,SaaS 비즈니스 구축
main1.subtitle,Faster Than Ever,이전보다 훨씬 빠르게
main1.description,"Launch your SaaS product in record time with our powerful, ready-to-use template. Packed with modern technologies and essential integrations.",강력하고 즉시 사용 가능한 템플릿으로 SaaS 제품을 최단 시간에 출시하세요. 최신 기술과 필수 통합 기능이 모두 탑재되어 있습니다.
main1.button,Deploy your own,지금 시작하기
,,
main2.first_title,Next.js and React,Next.js와 React 기반
main2.first_description,Leverage the power of modern web technologies for optimal performance and developer experience.,최고의 성능과 개발 경험을 위한 현대적 웹 기술의 강점을 활용하세요.
main2.second_title,Postgres and Drizzle ORM,Postgres와 Drizzle ORM 내장
main2.second_description,Robust database solution with an intuitive ORM for efficient data management and scalability.,효율적인 데이터 관리와 확장성을 위한 직관적인 ORM을 갖춘 안정적인 데이터베이스 솔루션입니다.
main2.third_title,Stripe Integration,Stripe 결제 통합
main2.third_description,Seamless payment processing and subscription management with industry-leading Stripe integration.,업계 최고의 Stripe 통합으로 매끄러운 결제 처리와 구독 관리 시스템을 구현하세요.
,,
main3.title,Ready to launch your SaaS?,SaaS 출시 준비 완료하셨나요?
main3.description,Our template provides everything you need to get your SaaS up and running quickly. Don't waste time on boilerplate - focus on what makes your product unique.,"이 템플릿은 SaaS를 빠르게 시작하고 운영하는 데 필요한 모든 것을 제공합니다. 기본 코드 작성에 시간을 낭비하지 말고, 제품의 고유한 가치 창출에 집중하세요."
main3.button,View the code,코드 살펴보기
,,
setting.title,Team Settings,팀 설정
setting.subscription,Team Subscription,팀 구독
setting.current_plan,Current Plan,현재 플랜
setting.free,Free,무료
setting.monthly,Billed monthly,월간 결제
setting.trial,Trial period,체험 기간
setting.no_subscription,No active subscription,활성화된 구독 없음
setting.manage,Manage Subscription,구독 관리
setting.members,Team Members,팀 멤버
setting.removing,Removing…,삭제 중...
setting.remove,Remove,삭제
,,
team.title,Invite Team Member,팀 멤버 초대하기
team.email,Email,이메일
team.role,Role,역할
team.member,Member,멤버
team.owner,Owner,소유주
team.invite,Invite Member,팀 초대
team.inviting,Inviting…,초대중…
team.error,You must be a team owner to invite new members.,초대 하기 위해서는 팀 소유주여야 합니다
,,
invite_response.user_not_in_team,User is not part of a team,사용자가 팀에 속해있지 않습니다
invite_response.already_member,User is already a member of this team,이미 팀에 속한 멤버입니다
invite_response.invitation_exists,An invitation has already been sent to this email,이 이메일로 이미 초대장이 발송되었습니다
invite_response.success,Invitation sent successfully,초대장이 성공적으로 발송되었습니다
,,
general.title,General Settings,기본 설정
general.card_title,Account Information,계정 정보
general.name,name,이름
general.email,email,이메일
general.submit,Save Changes,변경사항 저장
general.saving,saving…,저장중…
general.save_changes,Save Changes,저장 완료
general.account_updated,Account updated successfully.,성공적으로 저장되었습니다.
,,
activity.title,Activity Log,활동 로그
activity.card_title,Recent Activity,최근 활동
activity.sign_up,You signed up,회원가입 완료
activity.sign_in,You signed in,로그인 완료
activity.sign_out,You signed out,로그아웃 완료
activity.update_password,You changed your password,비밀번호 변경 완료
activity.delete_account,You deleted your account,계정 삭제 완료
activity.update_account,You updated your account,계정 정보 업데이트 완료
activity.create_team,You created a new team,새 팀 생성 완료
activity.remove_team_member,You removed a team member,팀 멤버 제거 완료
activity.invite_team_member,You invited a team member,팀 멤버 초대 완료
activity.accept_invitation,You accepted an invitation,초대 수락 완료
activity.unknown,Unknown action occurred,알 수 없는 작업이 발생했습니다
activity.no_activity,No activity yet,아직 활동이 없습니다.
activity.when_you_perform_actions,"When you perform actions like signing in or updating your                account, they'll appear here.","로그인 또는 업데이트 시, 이곳에 표시됩니다."
activity.just_now,just now,방금
activity.minutes_ago,minutes ago,{{count}}분 전
activity.hours_ago,hours ago,{{count}}시간 전
activity.days_ago,days ago,{{count}}일 전
,,
security.password_incorrect,Current password is incorrect.,유효하지 않은 계정 정보입니다. 다시 시도해주세요
security.new_password_must_be_different,New password must be different from the current password.,기존 비밀번호와 다르게 설정해주세요
security.password_updated,Password updated successfully.,성공적으로 업데이트 되었습니다.
security.title,Security Settings,보안 설정
security.card_title_password,Password,비밀번호
security.card_title_delete,Delete Account,계정 삭제
security.current_password,Current Password,현재 비밀번호
security.new_password,New Password,새 비밀번호
security.new_password_confirm,Confirm New Password,비밀번호 확인
security.password_submit,Update Password,비밀번호 업데이트
security.delete_account_warning,Account deletion is non-reversable. Please proceed with caution.,계정 삭제는 되돌릴 수 없습니다. 주의를 요합니다.
security.delete_account_confirm,Confirm Password,비밀번호 확인
security.delete_account_submit,Delete Account,계정 삭제
security.delete_account_password_error,Incorrect password. Account deletion failed.,비밀번호가 틀립니다. 계정 삭제에 실패했습니다.
security.updating,Updating…,변경중…
security.update_password,Update Password,비밀번호 변경 완료
security.deleting,Deleting…,삭제중…
security.delete_account,Delete Account,계정 삭제 완료
,,
pricing.Base,Base,기본
pricing.Plus,Plus,플러스
pricing.trial,with {{trialDays}} day free trial,{{trialDays}}일의 무료 체험판
pricing.price,per user / {interval} days,유저 당 / {{interval}}일
pricing.unlimited_usage,Unlimited Usage,무제한 사용량
pricing.unlimited_members,Unlimited Workspace Members,무제한 멤버
pricing.email_support,Email Support,이메일 지원
pricing.base_plus,"Everything in Base, and:",기본 플랜의 모든것과
pricing.new_feature_plus,Early Access to New Features,새 기능 얼리 액세스
pricing.CS_plus,24/7 Support + Slack Access,24/7 고객센터 + Slack 액세스
pricing.button,Get Started,지금 시작하기
pricing.loading,Loading…,로딩중…
,,
header.pricing,pricing,요금제
header.signup,signup,회원가입
header.signout,sign-out,로그아웃
