,en,ko
signup.title,Create your account,계정 생성
signup.email,email,이메일
signup.password,password,패스워드
signup.user,user,유저명
signup.submit,Sign up,회원가입
signup.border,Already have an account?,이미 계정이 있으신가요?
signup.login,Sign in to existing account,계정 로그인하기
signup.invalid_email_or_password,Invalid email or password. Please try again,유효하지 않은 계정 정보입니다. 다시 시도해주세요
signup.sign_up_failed,Failed to Sign up,회원가입에 실패했습니다. 다시 시도해주세요.
,,
signin.title,Sign in to your account,로그인
signin.email,email,이메일
signin.password,password,패스워드
signin.submit,Sign in,로그인
signin.border,New to our platform?,저희 서비스는 처음이신가요?
signin.login,Create an account,새로운 계정 생성하기
signin.invalid_email_or_password,Invalid email or password. Please try again,유효하지 않은 계정 정보입니다. 다시 시도해주세요
signin.sign_in_failed,Failed to Sign in,로그인에 실패했습니다. 다시 시도해주세요.
,,
hero.title,Build your SaaS,SaaS 비즈니스 구축
hero.subtitle,Faster Than Ever,이전보다 훨씬 빠르게
hero.description,"Launch your SaaS product in record time with our powerful, ready-to-use template. Packed with modern technologies and essential integrations.",강력하고 즉시 사용 가능한 템플릿으로 SaaS 제품을 최단 시간에 출시하세요. 최신 기술과 필수 통합 기능이 모두 탑재되어 있습니다.
hero.button,Deploy your own,지금 시작하기
,,
benefit.first_title,Next.js and React,Next.js와 React 기반
benefit.first_description,Leverage the power of modern web technologies for optimal performance and developer experience.,최고의 성능과 개발 경험을 위한 현대적 웹 기술의 강점을 활용하세요.
benefit.second_title,Postgres and Drizzle ORM,Postgres와 Drizzle ORM 내장
benefit.second_description,Robust database solution with an intuitive ORM for efficient data management and scalability.,효율적인 데이터 관리와 확장성을 위한 직관적인 ORM을 갖춘 안정적인 데이터베이스 솔루션입니다.
benefit.third_title,StepPay Integration,StepPay 결제 통합
benefit.third_description,Implement a seamless payment processing and subscription management system with Stepppay integration.,Stepppay 통합으로 매끄러운 결제 처리와 구독 관리 시스템을 구현하세요.
,,
CTA.title,Ready to launch your SaaS?,SaaS 출시 준비 완료하셨나요?
CTA.description,Our template provides everything you need to get your SaaS up and running quickly. Don't waste time on boilerplate - focus on what makes your product unique.,"이 템플릿은 SaaS를 빠르게 시작하고 운영하는 데 필요한 모든 것을 제공합니다. 기본 코드 작성에 시간을 낭비하지 말고, 제품의 고유한 가치 창출에 집중하세요."
CTA.button,View the code,코드 살펴보기
,,
features.title,Save over 100 hours with Next.js Full-Stack saas-starter-ko,Next.js Full-Stack saas-starter-ko로 100시간 이상 시간 절약
features.description_first,Our Next.js full-stack saas-starter-ko gets you from idea to launch faster.,Next.js full-stack saas-starter-ko로 아이디어에서 출시까지 더 빠르게.
features.description_second,"With saas-starter-ko's pre-built features, the hard work is done. ",saas-starter-ko의 사전 구현된 기능들로 어려운 작업은 끝났습니다.
features.description_third,Focus on what matters.,중요한 것에만 집중하세요.
,,
features.authentication_title,Authentication,인증 시스템
features.authentication_description,Full authentication system powered by Auth.js with JWT tokens stored securely in cookies.,Auth.js를 사용한 완전한 인증 시스템으로 JWT 토큰을 쿠키에 안전하게 저장합니다.
features.authentication_timeSaved,8-10,8-10
features.email_login_title,Email & Password Login,이메일 및 비밀번호 로그인
features.email_login_description,Simple and secure login flow with email and password validation.,이메일과 비밀번호 검증을 포함한 간단하고 안전한 로그인 프로세스입니다.
features.email_login_timeSaved,4-6,4-6
features.oauth_title,Social OAuth Integration,소셜 OAuth 통합
features.oauth_description,Ready-to-use OAuth social logins with Google and Facebook authentication.,Google과 Facebook 인증을 지원하는 바로 사용 가능한 OAuth 소셜 로그인입니다.
features.oauth_timeSaved,5-7,5-7
features.protected_routes_title,Protected Routes,보호된 라우트
features.protected_routes_description,Global middleware to protect logged-in routes and validate user sessions.,로그인된 라우트를 보호하고 사용자 세션을 검증하는 글로벌 미들웨어입니다.
features.protected_routes_timeSaved,3-5,3-5
features.ui_components_title,Shadcn UI Components,Shadcn UI 컴포넌트
features.ui_components_description,Beautiful UI components built with Radix UI primitives and styled with Tailwind CSS.,Radix UI 기본 요소로 구축되고 Tailwind CSS로 스타일링된 아름다운 UI 컴포넌트입니다.
features.ui_components_timeSaved,6-8,6-8
features.responsive_title,Mobile Responsive Design,모바일 반응형 디자인
features.responsive_description,"Fully responsive layouts that look great on mobile, tablet, and desktop devices.","모바일, 태블릿 및 데스크톱 기기에서 멋지게 보이는 완전 반응형 레이아웃"
features.responsive_timeSaved,4-6,4-6
features.dark_mode_title,Dark Mode,다크 모드
features.dark_mode_description,Complete theme system with light and dark modes that users can toggle based on preference.,사용자가 선호도에 따라 선택할 수 있는 라이트 및 다크 모드를 포함한 완전한 테마 시스템입니다.
features.dark_mode_timeSaved,3-5,3-5
features.user_management_title,User Management,사용자 관리
features.user_management_description,Dashboard CRUD operations for managing users with intuitive admin interfaces.,직관적인 관리자 인터페이스를 갖춘 사용자 관리를 위한 대시보드 CRUD 기능입니다.
features.user_management_timeSaved,5-7,5-7
features.team_management_title,Team Management,팀 관리
features.team_management_description,Multi-user teams with invitation system and member management tools.,초대 시스템과 멤버 관리 도구를 갖춘 다중 사용자 팀 기능입니다.
features.team_management_timeSaved,6-8,6-8
features.rbac_title,Role-Based Access Control,역할 기반 접근 제어
features.rbac_description,Basic RBAC with Owner and Member roles to control permissions and access levels.,권한과 접근 수준을 제어하는 소유자(Owner)와 멤버(Member) 역할의 기본 RBAC 시스템입니다.
features.rbac_timeSaved,4-6,4-6
features.activity_logging_title,Activity Logging,활동 로깅
features.activity_logging_description,Comprehensive activity tracking system for auditing user events and actions.,사용자 이벤트와 작업을 감사하기 위한 포괄적인 활동 추적 시스템입니다.
features.activity_logging_timeSaved,3-5,3-5
features.steppay_title,StepPay Integration,StepPay 통합
features.steppay_description,Seamless payment processing with StepPay checkout for subscription handling.,구독 처리를 위한 StepPay 결제 시스템의 원활한 통합입니다.
features.steppay_timeSaved,6-8,6-8
features.webhook_title,Webhook Support,웹훅 지원
features.webhook_description,Webhook infrastructure for subscription events and payment notifications.,구독 이벤트와 결제 알림을 위한 웹훅 인프라입니다.
features.webhook_timeSaved,3-5,3-5
features.customer_portal_title,Customer Portal,고객 포털
